Experiment ID,week_cutoff,pipeline_id,model_group,model,feature_set,evaluation_method,threshold,seed,Hyperparameters changed?,Hyperparameter notes,Metrics computed,Notes,accuracy_mean,precision_mean,recall_mean,f1_mean,auc_mean
EXP_017,6,B5_GaussianNB,Task 4 baseline,B5_GaussianNB,Task 3 processed features,5-fold stratified CV,0.5,42,No major tuning,GaussianNB used with default settings.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6426,0.7319,0.3831,0.5028,0.7237
EXP_018,6,B6_Bagging_LogisticRegression,Task 4 baseline,B6_Bagging_LogisticRegression,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Bagging ensemble uses Logistic Regression base estimator and n_estimators=10.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.712,0.7119,0.6551,0.6823,0.7886
EXP_019,8,B1_LogisticRegression,Task 4 baseline,B1_LogisticRegression,Task 3 processed features,5-fold stratified CV,0.5,42,No major tuning,Mostly default Logistic Regression; max_iter and random_state set for convergence/reproducibility.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.723,0.7236,0.6687,0.695,0.8043
EXP_020,8,B2_L1_Regularised_LogisticRegression,Task 4 baseline,B2_L1_Regularised_LogisticRegression,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,L1 penalty and liblinear solver used.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.7229,0.7236,0.6685,0.6949,0.8043
EXP_021,8,B3_SGD_Logistic,Task 4 baseline,B3_SGD_Logistic,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,"SGD logistic model uses log_loss, max_iter, tolerance, and random_state.","Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.7255,0.7052,0.7199,0.7121,0.7976
EXP_022,8,B4_KNN,Task 4 baseline,B4_KNN,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,KNN uses n_neighbors=15.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.711,0.6948,0.6916,0.6932,0.783
EXP_023,8,B5_GaussianNB,Task 4 baseline,B5_GaussianNB,Task 3 processed features,5-fold stratified CV,0.5,42,No major tuning,GaussianNB used with default settings.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6452,0.7445,0.3781,0.5012,0.7334
EXP_024,8,B6_Bagging_LogisticRegression,Task 4 baseline,B6_Bagging_LogisticRegression,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Bagging ensemble uses Logistic Regression base estimator and n_estimators=10.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.7229,0.7235,0.6688,0.695,0.8042
EXP_025,2,LR_weighted_onehot,Task 6 / Task 5-style comparison,LR_weighted_onehot,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Logistic Regression uses class_weight='balanced'.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.6869,0.6713,0.6595,0.6654,0.753
EXP_026,2,RandomForest_ordinal,Task 6 / Task 5-style comparison,RandomForest_ordinal,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Random Forest uses n_estimators=200 and class_weight='balanced'.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.6908,0.6638,0.6991,0.681,0.7608
EXP_027,2,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,GradientBoosting_ordinal,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Gradient Boosting uses n_estimators=200.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7009,0.6717,0.7166,0.6934,0.7731
EXP_028,2,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,RF_calibrated_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Random Forest wrapped in calibrated classifier using sigmoid calibration.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.6969,0.6586,0.7433,0.6983,0.7699
EXP_029,2,GBM_Task5_style,Task 6 / Task 5-style comparison,GBM_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Gradient Boosting uses Task 5-style settings.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7012,0.6718,0.7176,0.6939,0.7726
EXP_030,2,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,RF_weighted_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Random Forest uses class_weight='balanced' and Task 5-style settings.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.6904,0.6659,0.691,0.6782,0.7577
EXP_031,2,KNN_Task5_style,Task 6 / Task 5-style comparison,KNN_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,KNN uses Task 5-style n_neighbors setting.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.6504,0.6352,0.6094,0.622,0.6936
EXP_032,2,XGBoost_Task5_style,Task 6 / Task 5-style comparison,XGBoost_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,XGBoost uses n_estimators and eval_metric settings.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.6805,0.6571,0.6762,0.6665,0.749
EXP_033,2,CatBoost_Task5_style,Task 6 / Task 5-style comparison,CatBoost_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,"CatBoost uses depth, learning rate, iterations, AUC eval metric, and balanced class weights.","Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7031,0.6617,0.7591,0.7071,0.7751
EXP_034,4,LR_weighted_onehot,Task 6 / Task 5-style comparison,LR_weighted_onehot,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Logistic Regression uses class_weight='balanced'.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7023,0.6875,0.6771,0.6822,0.7725
EXP_035,4,RandomForest_ordinal,Task 6 / Task 5-style comparison,RandomForest_ordinal,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Random Forest uses n_estimators=200 and class_weight='balanced'.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.708,0.6792,0.7228,0.7003,0.7831
EXP_036,4,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,GradientBoosting_ordinal,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Gradient Boosting uses n_estimators=200.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7141,0.6824,0.7377,0.709,0.7923
EXP_037,4,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,RF_calibrated_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Random Forest wrapped in calibrated classifier using sigmoid calibration.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7104,0.6692,0.7644,0.7136,0.7881
EXP_038,4,GBM_Task5_style,Task 6 / Task 5-style comparison,GBM_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Gradient Boosting uses Task 5-style settings.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7143,0.6824,0.7385,0.7093,0.7924
EXP_039,4,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,RF_weighted_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Random Forest uses class_weight='balanced' and Task 5-style settings.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7056,0.6785,0.7152,0.6964,0.7808
EXP_040,4,KNN_Task5_style,Task 6 / Task 5-style comparison,KNN_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,KNN uses Task 5-style n_neighbors setting.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.6623,0.6457,0.6307,0.6381,0.7137
EXP_041,4,XGBoost_Task5_style,Task 6 / Task 5-style comparison,XGBoost_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,XGBoost uses n_estimators and eval_metric settings.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.695,0.6692,0.6998,0.6841,0.7686
EXP_042,4,CatBoost_Task5_style,Task 6 / Task 5-style comparison,CatBoost_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,"CatBoost uses depth, learning rate, iterations, AUC eval metric, and balanced class weights.","Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7148,0.6715,0.7748,0.7195,0.795
EXP_043,6,LR_weighted_onehot,Task 6 / Task 5-style comparison,LR_weighted_onehot,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Logistic Regression uses class_weight='balanced'.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7159,0.7007,0.6948,0.6978,0.7888
EXP_044,6,RandomForest_ordinal,Task 6 / Task 5-style comparison,RandomForest_ordinal,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Random Forest uses n_estimators=200 and class_weight='balanced'.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7231,0.6922,0.7444,0.7173,0.801
EXP_045,6,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,GradientBoosting_ordinal,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Gradient Boosting uses n_estimators=200.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7287,0.695,0.758,0.7251,0.8073
EXP_046,6,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,RF_calibrated_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Random Forest wrapped in calibrated classifier using sigmoid calibration.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7236,0.6803,0.7821,0.7276,0.803
EXP_047,6,GBM_Task5_style,Task 6 / Task 5-style comparison,GBM_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Gradient Boosting uses Task 5-style settings.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7278,0.6941,0.757,0.7241,0.8072
EXP_048,6,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,RF_weighted_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Random Forest uses class_weight='balanced' and Task 5-style settings.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.721,0.6922,0.7363,0.7136,0.7983
EXP_049,6,KNN_Task5_style,Task 6 / Task 5-style comparison,KNN_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,KNN uses Task 5-style n_neighbors setting.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.6731,0.656,0.6466,0.6513,0.7261
EXP_050,6,XGBoost_Task5_style,Task 6 / Task 5-style comparison,XGBoost_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,XGBoost uses n_estimators and eval_metric settings.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7126,0.6861,0.7212,0.7032,0.7898
EXP_051,6,CatBoost_Task5_style,Task 6 / Task 5-style comparison,CatBoost_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,"CatBoost uses depth, learning rate, iterations, AUC eval metric, and balanced class weights.","Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.729,0.6848,0.7891,0.7332,0.8111
EXP_052,8,LR_weighted_onehot,Task 6 / Task 5-style comparison,LR_weighted_onehot,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Logistic Regression uses class_weight='balanced'.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7268,0.7129,0.7054,0.7091,0.8044
EXP_053,8,RandomForest_ordinal,Task 6 / Task 5-style comparison,RandomForest_ordinal,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Random Forest uses n_estimators=200 and class_weight='balanced'.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7382,0.7047,0.767,0.7345,0.8214
EXP_054,8,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,GradientBoosting_ordinal,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Gradient Boosting uses n_estimators=200.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.745,0.7078,0.7832,0.7436,0.8268
EXP_055,8,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,RF_calibrated_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Random Forest wrapped in calibrated classifier using sigmoid calibration.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7383,0.6905,0.8078,0.7445,0.8216
EXP_056,8,GBM_Task5_style,Task 6 / Task 5-style comparison,GBM_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Gradient Boosting uses Task 5-style settings.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7456,0.7084,0.7836,0.7441,0.8272
EXP_057,8,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,RF_weighted_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Random Forest uses class_weight='balanced' and Task 5-style settings.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7373,0.7057,0.761,0.7322,0.8188
EXP_058,8,KNN_Task5_style,Task 6 / Task 5-style comparison,KNN_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,KNN uses Task 5-style n_neighbors setting.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.6827,0.6658,0.6584,0.6621,0.7413
EXP_059,8,XGBoost_Task5_style,Task 6 / Task 5-style comparison,XGBoost_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,XGBoost uses n_estimators and eval_metric settings.,"Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7297,0.7009,0.7457,0.7226,0.8104
EXP_060,8,CatBoost_Task5_style,Task 6 / Task 5-style comparison,CatBoost_Task5_style,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,"CatBoost uses depth, learning rate, iterations, AUC eval metric, and balanced class weights.","Accuracy, Precision, Recall, F1, AUC",Task 5-style or Task 6 comparison model evaluated using the same CV protocol.,0.7459,0.6976,0.815,0.7517,0.8305
